node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,method
1156,44,3.72,58.77,86.54,9.14,3,0.11,ROUNDING_DOWN
3019,67,6.99,69.74,75.68,22.42,3,1.01,ROUNDING_DOWN
3518,72,0.63,8.66,50.0,8.66,1,0.2,ROUNDING_DOWN
1890,54,99.95,18.87,18.87,81.13,3,0.01,ROUNDING_DOWN
123,16,57.72,76.04,76.96,22.76,3,0.01,ROUNDING_DOWN
6722,97,99.99,32.83,32.83,67.17,3,0.05,ROUNDING_DOWN
1065,41,10.7,64.68,73.86,22.89,3,0.22,ROUNDING_DOWN
423,27,99.76,68.17,68.17,31.83,3,0.0,ROUNDING_DOWN
3088,68,3.27,47.47,82.21,10.27,3,0.59,ROUNDING_DOWN
6369,95,0.83,23.01,73.75,8.19,2,0.65,ROUNDING_DOWN
613,33,99.84,14.56,14.56,85.44,1,0.01,ROUNDING_DOWN
3835,74,2.35,16.41,20.01,65.63,1,0.58,ROUNDING_DOWN
2106,58,0.71,22.52,75.0,7.51,2,0.1,ROUNDING_DOWN
6112,93,99.98,27.18,27.18,72.82,2,0.04,ROUNDING_DOWN
6441,95,1.8,20.69,25.48,60.5,1,1.19,ROUNDING_DOWN
2823,65,2.2,23.5,61.05,14.99,2,0.32,ROUNDING_DOWN
126,16,99.21,45.45,45.45,54.55,3,0.0,ROUNDING_DOWN
5789,91,2.21,40.45,63.92,22.83,2,1.22,ROUNDING_DOWN
3917,76,4.34,10.16,10.48,86.82,1,1.02,ROUNDING_DOWN
486,29,99.79,17.55,17.55,82.45,2,0.0,ROUNDING_DOWN
4041,76,2.67,27.34,30.93,61.05,1,0.7,ROUNDING_DOWN
996,40,4.72,34.78,62.97,20.46,2,0.09,ROUNDING_DOWN
324,25,4.01,22.48,77.46,6.54,3,0.01,ROUNDING_DOWN
786,36,15.39,24.55,24.89,74.1,1,0.14,ROUNDING_DOWN
2789,64,9.57,70.09,72.5,26.59,3,1.12,ROUNDING_DOWN
564,31,99.82,28.61,28.61,71.39,3,0.0,ROUNDING_DOWN
2486,61,7.6,47.97,50.03,47.92,2,0.71,ROUNDING_DOWN
1600,49,99.94,34.28,34.28,65.72,3,0.01,ROUNDING_DOWN
1176,44,99.91,8.03,8.03,91.97,1,0.01,ROUNDING_DOWN
6696,98,99.99,4.44,4.44,95.56,1,0.04,ROUNDING_DOWN
546,30,99.82,48.58,48.58,51.42,3,0.0,ROUNDING_DOWN
3688,74,0.89,15.88,41.11,22.74,1,0.26,ROUNDING_DOWN
68,13,1.47,12.68,50.0,12.68,1,0.0,ROUNDING_DOWN
288,23,99.65,32.0,32.0,68.0,3,0.0,ROUNDING_DOWN
334,25,5.39,20.45,27.66,53.47,1,0.02,ROUNDING_DOWN
2085,56,8.82,36.12,37.37,60.52,2,0.58,ROUNDING_DOWN
188,20,99.47,22.85,22.85,77.15,1,0.0,ROUNDING_DOWN
5266,87,2.32,43.55,62.37,26.28,2,1.05,ROUNDING_DOWN
1539,49,5.72,36.94,47.49,40.85,2,0.23,ROUNDING_DOWN
547,31,99.82,11.43,11.43,88.57,1,0.0,ROUNDING_DOWN
1269,45,5.67,47.97,62.14,29.23,2,0.16,ROUNDING_DOWN
2981,66,9.29,68.7,70.48,28.78,3,1.23,ROUNDING_DOWN
6096,93,3.31,42.98,48.22,46.16,2,1.9,ROUNDING_DOWN
4943,84,1.72,34.93,69.84,15.09,2,0.71,ROUNDING_DOWN
4004,77,99.98,8.31,8.31,91.69,3,0.03,ROUNDING_DOWN
1525,49,1.31,11.39,38.36,18.3,1,0.08,ROUNDING_DOWN
6590,97,1.09,27.31,71.77,10.74,2,0.85,ROUNDING_DOWN
319,25,7.84,19.26,27.01,52.05,1,0.02,ROUNDING_DOWN
5587,89,0.93,17.09,35.67,30.83,1,0.54,ROUNDING_DOWN
3055,68,0.23,5.02,50.0,5.02,1,0.09,ROUNDING_DOWN
1027,41,2.43,21.74,41.09,31.16,1,0.06,ROUNDING_DOWN
1297,45,99.92,16.17,16.17,83.83,3,0.01,ROUNDING_DOWN
2681,63,1.9,21.73,33.59,42.96,1,0.25,ROUNDING_DOWN
5521,89,3.21,8.27,8.49,89.04,1,1.5,ROUNDING_DOWN
3248,69,1.57,22.81,40.91,32.95,1,0.3,ROUNDING_DOWN
5973,92,4.02,62.93,74.73,21.29,3,2.18,ROUNDING_DOWN
1001,41,99.9,9.27,9.27,90.73,2,0.01,ROUNDING_DOWN
1561,49,99.94,50.7,50.7,49.3,2,0.01,ROUNDING_DOWN
426,28,99.77,27.44,27.44,72.56,3,0.02,ROUNDING_DOWN
4300,79,99.98,44.0,44.0,56.0,3,0.03,ROUNDING_DOWN
1826,53,4.76,47.38,83.48,9.38,3,0.28,ROUNDING_DOWN
5747,91,0.5,12.82,50.0,12.82,1,0.37,ROUNDING_DOWN
183,19,99.45,13.32,13.32,86.68,1,0.0,ROUNDING_DOWN
1582,49,4.42,15.16,16.4,77.3,1,0.19,ROUNDING_DOWN
98,15,98.98,56.9,56.9,43.1,3,0.0,ROUNDING_DOWN
403,27,99.75,69.64,69.64,30.36,3,0.0,ROUNDING_DOWN
4891,84,99.98,31.51,31.51,68.49,2,0.03,ROUNDING_DOWN
1792,52,9.6,21.89,22.18,76.79,1,0.46,ROUNDING_DOWN
1768,53,99.94,7.76,7.76,92.24,2,0.01,ROUNDING_DOWN
66,12,15.15,29.96,50.0,29.96,1,0.0,ROUNDING_DOWN
6114,93,99.98,40.1,40.1,59.9,3,0.04,ROUNDING_DOWN
1483,48,99.93,14.89,14.89,85.11,2,0.01,ROUNDING_DOWN
1052,41,99.9,33.08,33.08,66.92,3,0.01,ROUNDING_DOWN
2554,62,1.61,24.67,69.83,10.66,2,0.22,ROUNDING_DOWN
